2024-05-04 13:31:24.381 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
2024-05-04 13:31:24.385 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
2024-05-04 13:31:24.443 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
2024-05-04 13:31:24.447 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
2024-05-04 13:31:24.449 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
2024-05-04 13:31:24.451 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
2024-05-04 13:31:24.452 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
2024-05-04 13:31:24.454 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
2024-05-04 13:31:24.456 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
2024-05-04 13:31:24.457 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
2024-05-04 13:31:24.458 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
2024-05-04 13:31:24.460 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
2024-05-04 13:31:24.461 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
2024-05-04 13:31:24.462 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
2024-05-04 13:31:24.464 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
2024-05-04 13:31:24.466 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
2024-05-04 13:31:24.467 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
2024-05-04 13:31:24.469 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
2024-05-04 13:31:24.470 +02:00 [ERR] Window:152                     [CreateWindow]                 Could not create a Window instance for 131922, Zugriff verweigert
